family,n,m,alg,opt,ratio
gnp,8,19,3,3,1.000000
gnp,13,14,7,7,1.000000
gnp,15,94,3,3,1.000000
gnp,16,93,3,3,1.000000
gnp,7,12,2,2,1.000000
gnp,11,32,4,4,1.000000
gnp,6,2,5,5,1.000000
gnp,6,3,4,4,1.000000
gnp,16,45,7,7,1.000000
gnp,15,12,9,9,1.000000
gnp,16,56,5,5,1.000000
gnp,11,21,5,5,1.000000
gnp,15,25,7,7,1.000000
gnp,12,17,6,6,1.000000
gnp,9,30,3,3,1.000000
gnp,8,12,4,4,1.000000
gnp,14,26,7,7,1.000000
gnp,13,30,5,5,1.000000
gnp,13,25,6,6,1.000000
gnp,7,8,3,3,1.000000
gnp,7,16,2,2,1.000000
gnp,16,43,7,7,1.000000
gnp,14,49,4,4,1.000000
gnp,8,17,3,3,1.000000
gnp,11,27,4,4,1.000000
gnp,9,26,3,3,1.000000
gnp,13,19,6,6,1.000000
gnp,13,50,3,3,1.000000
gnp,15,79,3,3,1.000000
gnp,10,22,4,4,1.000000
gnp,14,39,6,6,1.000000
gnp,15,21,7,7,1.000000
gnp,16,26,8,8,1.000000
gnp,16,65,5,5,1.000000
gnp,14,57,4,4,1.000000
gnp,8,16,3,3,1.000000
gnp,7,12,3,3,1.000000
gnp,8,8,4,4,1.000000
gnp,11,42,3,3,1.000000
gnp,7,9,4,4,1.000000
gnp,8,13,3,3,1.000000
gnp,14,63,4,4,1.000000
gnp,8,19,3,3,1.000000
gnp,15,13,8,8,1.000000
gnp,7,4,5,5,1.000000
gnp,16,36,7,7,1.000000
gnp,15,64,4,4,1.000000
gnp,16,65,4,4,1.000000
gnp,13,26,6,6,1.000000
gnp,10,23,3,3,1.000000
gnp,8,12,4,4,1.000000
gnp,13,25,6,6,1.000000
gnp,11,37,3,3,1.000000
gnp,11,47,2,2,1.000000
gnp,11,26,4,4,1.000000
gnp,11,23,5,5,1.000000
gnp,10,23,4,4,1.000000
gnp,7,5,5,5,1.000000
gnp,15,47,5,5,1.000000
gnp,11,47,2,2,1.000000
gnp,9,24,3,3,1.000000
gnp,14,46,5,5,1.000000
gnp,13,15,8,8,1.000000
gnp,14,37,5,5,1.000000
gnp,9,20,3,3,1.000000
gnp,6,4,4,4,1.000000
gnp,10,19,4,4,1.000000
gnp,12,18,5,5,1.000000
gnp,11,40,3,3,1.000000
gnp,6,7,3,3,1.000000
gnp,11,25,5,5,1.000000
gnp,12,42,3,3,1.000000
gnp,15,65,4,4,1.000000
gnp,8,24,2,2,1.000000
gnp,11,40,2,2,1.000000
gnp,14,71,3,3,1.000000
gnp,9,19,4,4,1.000000
gnp,14,16,7,7,1.000000
gnp,8,17,3,3,1.000000
gnp,14,43,6,6,1.000000
gnp,11,38,3,3,1.000000
gnp,8,9,5,5,1.000000
gnp,15,42,6,6,1.000000
gnp,15,38,6,6,1.000000
gnp,11,23,5,5,1.000000
gnp,12,34,4,4,1.000000
gnp,15,47,5,5,1.000000
gnp,6,9,2,2,1.000000
gnp,14,60,4,4,1.000000
gnp,8,15,4,4,1.000000
gnp,6,9,3,3,1.000000
gnp,9,5,6,6,1.000000
gnp,12,17,6,6,1.000000
gnp,12,30,5,5,1.000000
gnp,6,11,2,2,1.000000
gnp,14,40,5,5,1.000000
gnp,14,37,5,5,1.000000
gnp,13,64,3,3,1.000000
gnp,14,42,5,5,1.000000
gnp,15,52,5,5,1.000000
gnp,10,25,4,4,1.000000
gnp,10,28,3,3,1.000000
gnp,13,27,5,5,1.000000
gnp,14,76,3,3,1.000000
gnp,10,10,5,5,1.000000
gnp,12,43,3,3,1.000000
gnp,10,9,6,6,1.000000
gnp,11,39,3,3,1.000000
gnp,13,17,7,7,1.000000
gnp,14,60,4,4,1.000000
gnp,7,14,3,3,1.000000
gnp,9,8,6,6,1.000000
gnp,16,37,6,6,1.000000
gnp,12,28,5,5,1.000000
gnp,7,13,3,3,1.000000
gnp,6,13,2,2,1.000000
gnp,12,41,4,4,1.000000
gnp,13,52,3,3,1.000000
gnp,11,24,5,5,1.000000
gnp,7,11,3,3,1.000000
gnp,14,65,4,4,1.000000
gnp,8,11,3,3,1.000000
gnp,6,11,2,2,1.000000
gnp,13,25,6,6,1.000000
gnp,6,2,5,5,1.000000
gnp,11,23,5,5,1.000000
gnp,8,23,2,2,1.000000
gnp,10,20,5,5,1.000000
gnp,11,20,5,5,1.000000
gnp,16,37,7,7,1.000000
gnp,6,8,3,3,1.000000
gnp,15,70,4,4,1.000000
gnp,8,20,3,3,1.000000
gnp,12,37,4,4,1.000000
gnp,12,44,3,3,1.000000
gnp,8,9,4,4,1.000000
gnp,6,4,4,4,1.000000
gnp,13,59,3,3,1.000000
gnp,10,27,3,3,1.000000
gnp,10,26,3,3,1.000000
gnp,6,9,3,3,1.000000
gnp,10,11,6,6,1.000000
gnp,7,16,2,2,1.000000
gnp,11,33,3,3,1.000000
gnp,8,17,3,3,1.000000
gnp,15,45,5,5,1.000000
gnp,14,62,3,3,1.000000
gnp,9,25,3,3,1.000000
gnp,14,43,5,5,1.000000
gnp,7,14,3,3,1.000000
gnp,6,10,2,2,1.000000
gnp,15,64,4,4,1.000000
gnp,11,42,3,3,1.000000
gnp,7,9,3,3,1.000000
gnp,7,18,2,2,1.000000
gnp,6,8,2,2,1.000000
gnp,13,39,5,5,1.000000
gnp,16,95,3,3,1.000000
gnp,12,22,5,5,1.000000
gnp,9,19,3,3,1.000000
gnp,12,24,6,6,1.000000
gnp,14,78,2,2,1.000000
gnp,13,12,8,8,1.000000
gnp,8,18,3,3,1.000000
gnp,11,52,2,2,1.000000
gnp,13,60,3,3,1.000000
gnp,12,10,7,7,1.000000
gnp,16,95,3,3,1.000000
gnp,8,27,2,2,1.000000
gnp,14,18,7,7,1.000000
gnp,6,9,2,2,1.000000
